,Total Return,Annualized Return,Volatility,Sharpe Ratio,Max Drawdown,Data Points
XUFN,0.537130722826223,0.1961081516026273,0.17213153416458316,1.1392924170136016,-0.17116683669321198,605.0
CBUN,0.39720001220703116,0.14948789079081748,0.14539786441492644,1.0281298930513807,-0.1706220119535095,605.0
ZPDE,0.16319707655211202,0.06499237738175556,0.2310258775175596,0.28132076839234466,-0.22346283654467491,605.0
XMLH,-0.1097996958135935,-0.047291188621332414,0.20280930594548333,-0.23318056536342885,-0.3724309714843387,605.0
CBUK,0.013745213863864958,0.0057024860791050624,0.32480453378678187,0.017556670199833056,-0.3314058050236034,605.0
